model,data,auc,acc,rec,prec,f1
dt,test,0.6803120721279289,0.801277501774308,0.42245989304812837,0.7117117117117117,0.5302013422818792
lr,test,0.7774083546462063,0.7281760113555713,0.8823529411764706,0.49327354260089684,0.6327900287631831
rf,test,0.7709938257252835,0.7388218594748048,0.839572192513369,0.5048231511254019,0.6305220883534136
xg,test,0.7913960577643441,0.7700496806245565,0.8368983957219251,0.5434027777777778,0.6589473684210526
